movie_id,genre
3670,Family
60467,Documentary
38354,Family
78226,Adventure
3437,Western
76394,TV Movie
50004,Drama
10164,History
14142,Music
85544,Thriller
85983,Drama
61306,Family
30903,Drama
56396,Comedy
71562,Animation
58089,Western
32633,Science Fiction
77297,Comedy
34064,Fantasy
37284,Mystery
58658,War
9551,TV Movie
9393,Action
2462,Comedy
31536,War
1449,Family
13105,TV Movie
72923,Horror
61777,Western
88663,Western
63576,War
26209,Western
39301,Horror
566,Animation
24459,Family
933,Western
47361,History
27414,TV Movie
11070,Crime
26311,Fantasy
90318,Family
55002,Horror
11859,TV Movie
36885,Drama
76299,Science Fiction
15726,Thriller
34207,Documentary
19901,Science Fiction
64329,Family
92617,Drama
61892,Adventure
34895,Mystery
13744,Documentary
38372,Crime
87747,Action
26402,War
38189,Science Fiction
85109,History
50434,Animation
50636,Crime
39328,Mystery
31717,Family
249,Adventure
19811,Fantasy
39044,Thriller
52818,War
67422,Mystery
24149,Action
53073,Music
53492,Crime
2038,Family
33726,Science Fiction
27244,Animation
60689,Documentary
3811,Mystery
33419,Music
63106,Western
61869,War
14652,Action
45645,Drama
10314,Music
35705,History
26992,Music
13811,Horror
74731,Comedy
46447,Western
73626,Documentary
95105,Fantasy
46018,History
41542,Crime
63599,Mystery
57561,Fantasy
57591,Adventure
53605,War
34553,Action
77791,Music
42135,History
71146,Adventure
72408,Fantasy
18741,Adventure
22082,Romance
51484,Horror
74385,Horror
55729,Thriller
20612,Comedy
84496,Mystery
3419,Drama
80760,TV Movie
2380,Action
32022,Mystery
83304,Action
68362,Horror
89101,Documentary
77968,Animation
88852,Music
68431,Crime
96517,Fantasy
87061,Music
72578,History
65699,Western
79192,Crime
74540,Crime
63732,Fantasy
90559,Thriller
6162,History
96731,Action
15726,TV Movie
39044,Science Fiction
17597,Thriller
30530,Mystery
96795,Action
26190,Family
54088,Crime
96165,Documentary
41417,Romance
53538,Horror
81677,Documentary
31340,Horror
11247,Mystery
18943,Music
14035,Adventure
56476,Animation
59345,Comedy
97836,Thriller
15421,Documentary
72887,Drama
13811,Science Fiction
70887,Horror
8688,Animation
41774,Documentary
49135,Adventure
7177,Romance
51526,Fantasy
9269,War
46588,Western
4393,Music
62233,Mystery
34895,Music
99272,Music
78499,War
76826,Fantasy
69881,Thriller
53994,TV Movie
53201,Thriller
60614,Family
41988,Horror
3300,Adventure
88355,Family
85623,Music
35804,Action
64878,Mystery
47234,Thriller
73260,Romance
45380,Romance
43816,TV Movie
94639,Thriller
69323,Documentary
74129,Drama
86978,Action
23148,Science Fiction
87970,War
77097,Mystery
73833,Adventure
81756,Western
32763,Science Fiction
15609,Music
87481,Science Fiction
96293,War
34161,Romance
9800,Documentary
65282,Music
24414,Documentary
69624,Fantasy
70677,Comedy
76464,Thriller
37193,Adventure
33684,TV Movie
72324,Romance
72514,Family
10164,Romance
63631,Adventure
34537,TV Movie
2871,Comedy
81073,Action
80582,Romance
61574,Family
2038,Animation
47355,Crime
59579,Documentary
45294,Family
20843,Documentary
27334,Documentary
78776,Comedy
87868,Drama
38597,Western
50679,Drama
95166,Animation
37260,Family
11745,Action
78101,Action
87646,Romance
20150,Documentary
51832,History
12393,Romance
69611,Comedy
36296,Documentary
47862,TV Movie
84303,Action
73735,Documentary
32684,Fantasy
41751,Science Fiction
61295,Music
52713,Animation
26753,Horror
30363,Science Fiction
54059,Animation
55109,Romance
75080,Adventure
73911,Comedy
32544,Western
78559,Music
2268,Adventure
55729,Thriller
75436,Animation
30126,History
70717,TV Movie
1514,Fantasy
47234,Horror
37214,Science Fiction
57561,Animation
42085,TV Movie
71562,Music
69575,Crime
79860,Drama
42464,Fantasy
74373,War
84047,Family
16915,Music
88795,Adventure
93510,History
3996,Western
84950,Fantasy
79513,Family
20843,Action
75880,Documentary
31687,Music
74213,Western
58255,Thriller
74031,Adventure
92913,Horror
84521,War
14824,Horror
54331,War
48449,Family
76394,Science Fiction
72709,Fantasy
23026,Science Fiction
43816,Drama
71510,Mystery
55837,Mystery
45168,Action
50556,Comedy
38597,Comedy
76241,Comedy
74068,Mystery
27920,Adventure
68382,Science Fiction
80560,Comedy
71268,Documentary
56396,Animation
48289,Drama
35940,Documentary
10134,Animation
79312,Comedy
21893,History
40155,Fantasy
9534,Documentary
6332,Horror
28183,Drama
63053,War
92617,Comedy
92892,Crime
69197,Comedy
74064,Comedy
15662,Mystery
47430,TV Movie
92800,Romance
4827,Horror
59435,Adventure
93069,Romance
95130,Drama
89364,Horror
4332,Comedy
98912,Drama
20912,TV Movie
28053,Documentary
94862,Documentary
93736,Adventure
68640,Family
72159,Drama
49415,Romance
14538,Fantasy
576,Science Fiction
62755,War
8329,Music
34281,Western
56057,Mystery
72512,Drama
5147,History
37874,History
92068,Adventure
62482,Romance
95595,Mystery
82443,Documentary
2973,Fantasy
16200,Mystery
11517,Fantasy
17178,Mystery
37565,Crime
91989,Romance
1122,Crime
50845,Fantasy
12819,Family
37022,Drama
43395,Family
6171,Animation
29826,Science Fiction
44997,Family
77448,Action
84047,Drama
50679,Western
15744,Adventure
24152,Romance
7031,War
23826,Science Fiction
34161,Romance
91312,Western
97795,Western
24654,Thriller
67523,Western
15628,TV Movie
20394,Western
10091,Action
40546,Western
54609,Drama
58779,Horror
40746,Crime
88486,Thriller
3711,Horror
77053,Family
76847,History
7131,Music
71337,History
37762,Mystery
73995,War
2842,History
82335,Western
22421,Thriller
84135,TV Movie
71680,Crime
90568,Animation
17010,Science Fiction
50924,Adventure
84521,Mystery
43092,Family
54859,Thriller
45051,Comedy
20843,Western
33253,Fantasy
35670,Science Fiction
28075,Fantasy
90557,Fantasy
53270,Romance
89101,TV Movie
77642,Thriller
80371,Mystery
40746,Fantasy
47835,Science Fiction
90513,Drama
16684,Action
18744,Action
7439,Crime
16854,Fantasy
66769,Music
68980,Documentary
53297,Mystery
17936,Family
28571,Science Fiction
80927,Documentary
49375,Documentary
29454,Comedy
2536,Horror
1847,War
15628,Animation
9222,Animation
4519,Music
234,Documentary
51556,Documentary
31168,Family
10739,Science Fiction
1348,War
75656,TV Movie
69109,Documentary
25957,Thriller
86705,TV Movie
31019,Western
46020,War
93452,Crime
966,Documentary
96277,Music
56057,Horror
33214,TV Movie
88178,Thriller
64329,Fantasy
77925,Action
45066,Animation
685,Fantasy
75588,Western
76804,Mystery
52517,Romance
53001,Western
77797,Drama
30920,Comedy
20040,Music
1028,Romance
76631,Adventure
14837,Action
22977,War
84575,Family
88897,Animation
49195,Documentary
93410,Mystery
33351,Fantasy
68889,Fantasy
76004,Fantasy
5041,Science Fiction
93782,Mystery
